image_path,row,col,sub_id,url,has_plastic_initial,notes
S56626974_5DB0A12E-59A9-4C27.jpeg,0,A,S56626974,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/05/21/5DB0A12E-59A9-4C27.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S56660880_693E99A4-102D-4D0D.jpeg,1,A,S56660880,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/05/23/693E99A4-102D-4D0D.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S56768041_CD9CB1F4-9BC7-486C.jpeg,2,A,S56768041,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/05/26/CD9CB1F4-9BC7-486C.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S57102742_0542C9D5-764D-4C16.jpeg,3,A,S57102742,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/05/0542C9D5-764D-4C16.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S57178355_B560886E-9DC0-4451.jpeg,4,A,S57178355,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/07/B560886E-9DC0-4451.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S57391329_DDCD9E50-F36D-4404.jpeg,5,A,S57391329,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/12/DDCD9E50-F36D-4404.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S57391421_AD413CE8-07A6-4351.jpeg,6,A,S57391421,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/15/AD413CE8-07A6-4351.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S57490134_IMG5131.JPG,7,A,S57490134,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/17/IMG5131.JPG,u,"Original: u (y=Yes, n=No, u=Unsure)"
S57107970_DSCN6569.JPG,8,A,S57107970,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/05/DSCN6569.JPG,n,"Original: n (y=Yes, n=No, u=Unsure)"
S57513358_IMG4665.jpg,9,A,S57513358,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/17/IMG4665.jpg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S57740804_DSCF2325.png,10,A,S57740804,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/27/DSCF2325.png,y,"Original: y (y=Yes, n=No, u=Unsure)"
